Analyse 1,Algebre 1,Electrostatique et Magnetostatique,Mecanique du Point,Architecture des Ordinateurs,Tec1,Electrocinetique et Optique Geometrique,Analyse2,Outils Informatiques,Algebre 2,Chimie Generale,Tec2 et Anglais,Mecanique du Solide,Algebre 3,Analyse 3,Thermodynamique et Statique des Fluides,Tec et Anglais 2,Electromagnetisme et Optique Physique,Electronique,Analyse 4,Probabilites et Statistiques,Programmation C,Dao et Materiaux,Organisation Entreprise et Economie,Moyenne,Moyenne de Baccalaureat,Region d'Origine,Filiere choisie
12,11,14,10,12,10,14,14,13,10,15,14,15,13,11,15,15,15,13,10,10,11,10,14,12.541666666666666,12.27343830514943,Souss-Massa,Genie de Procedes de l'Energie et de l'Environnement
14,10,14,14,9,10,13,9,14,13,15,11,11,10,11,15,13,12,9,10,9,11,15,10,11.75,15.540466019904445,Souss-Massa,Genie de Procedes de l'Energie et de l'Environnement
14,13,15,15,9,14,11,10,11,13,9,10,11,9,9,15,10,14,14,12,15,9,14,11,11.958333333333334,15.553513445682457,Souss-Massa,Genie Mecanique
15,15,9,12,9,10,9,13,15,14,14,9,12,13,11,14,9,10,14,13,14,10,15,14,12.208333333333334,14.230037769791036,Souss-Massa,Genie Industriel
9,9,15,9,10,12,11,13,14,12,15,13,10,12,14,12,14,11,14,14,10,14,14,10,12.125,14.3570482076804,Rabat-Sale-Kenitra,Genie Industriel
9,13,11,13,12,9,11,11,14,11,15,14,13,13,12,12,9,14,15,15,9,14,15,10,12.25,15.644716942118016,Souss-Massa,Genie Industriel
10,12,11,13,14,9,9,14,10,9,15,12,15,11,11,15,12,15,13,13,12,13,15,11,12.25,16.583474034981062,Souss-Massa,Genie de Procedes de l'Energie et de l'Environnement
10,9,9,14,13,13,15,10,14,12,15,14,9,12,14,15,10,15,15,12,12,12,9,14,12.375,15.147804067283202,Marrakech-Safi,Genie de Procedes de l'Energie et de l'Environnement
12,10,11,12,15,15,11,10,10,13,15,15,14,13,11,15,9,14,9,12,12,15,14,15,12.583333333333334,15.107142668253678,Tanger-Tetouan-Al Hoceima,Genie de Procedes de l'Energie et de l'Environnement
14,13,13,10,11,11,10,12,12,14,15,10,10,10,10,15,9,13,13,10,14,14,15,12,12.083333333333334,15.490140958120758,Marrakech-Safi,Genie de Procedes de l'Energie et de l'Environnement
10,12,13,13,11,14,13,11,12,11,15,11,11,11,9,15,11,13,9,10,13,9,13,11,11.708333333333334,13.160901003465938,Marrakech-Safi,Genie de Procedes de l'Energie et de l'Environnement
12,11,14,10,13,14,10,10,12,11,15,14,10,12,13,15,12,10,12,13,13,15,13,11,12.291666666666666,17.74625408535894,Souss-Massa,Genie de Procedes de l'Energie et de l'Environnement
13,13,12,13,12,10,10,13,11,9,15,12,9,15,15,15,9,13,13,10,15,14,11,11,12.208333333333334,17.465992842308104,Souss-Massa,Genie de Procedes de l'Energie et de l'Environnement
10,9,14,15,11,10,15,14,10,10,9,9,9,10,15,15,12,11,11,14,9,10,15,12,11.625,16.111246684293672,Souss-Massa,Genie Civil(BTP)
14,11,15,15,10,13,11,13,12,14,9,12,15,13,11,15,11,15,12,11,9,10,14,15,12.5,15.710468018730502,Souss-Massa,Genie Mecanique
11,9,11,9,10,12,14,14,15,14,14,11,10,11,10,9,13,9,14,13,14,10,15,10,11.75,16.219611023398734,Marrakech-Safi,Genie Industriel
13,14,11,11,9,12,14,12,13,12,15,10,15,15,11,15,12,13,9,9,9,9,14,13,12.083333333333334,15.24113026160684,Souss-Massa,Genie de Procedes de l'Energie et de l'Environnement
14,11,9,14,9,12,14,14,10,13,15,9,10,11,14,15,15,13,15,11,10,10,14,15,12.375,15.208073552703544,Souss-Massa,Genie de Procedes de l'Energie et de l'Environnement
14,12,9,9,13,10,9,13,10,14,15,12,9,14,10,15,13,15,13,13,12,14,12,14,12.25,15.518525540507596,Souss-Massa,Genie de Procedes de l'Energie et de l'Environnement
11,10,14,9,9,11,15,14,14,13,15,13,11,12,13,15,11,9,10,11,11,10,12,12,11.875,17.459724810162953,Souss-Massa,Genie de Procedes de l'Energie et de l'Environnement
12,13,15,11,15,10,9,13,15,15,15,11,12,13,10,15,11,11,15,12,10,9,15,13,12.5,15.408740612623456,Souss-Massa,Genie Industriel
13,14,11,15,13,10,11,9,15,9,10,14,14,13,9,15,13,9,12,9,10,12,15,9,11.833333333333334,16.898352401068273,Marrakech-Safi,Genie Civil(BTP)
14,9,10,10,14,10,11,13,12,13,15,9,14,10,10,15,9,9,15,11,11,14,14,13,11.875,16.325475935440803,Souss-Massa,Genie de Procedes de l'Energie et de l'Environnement
11,9,12,12,10,10,9,11,9,12,15,13,14,14,13,15,15,10,9,11,10,14,9,12,11.625,16.740331485810255,Souss-Massa,Genie de Procedes de l'Energie et de l'Environnement
11,13,12,15,14,15,10,11,10,11,10,13,13,15,12,15,10,15,12,13,13,13,14,13,12.625,15.070937625271869,Casablanca-Settat,Genie Mecanique
9,13,13,11,12,9,14,9,13,15,15,14,10,12,9,15,9,9,10,12,14,13,14,15,12.041666666666666,12.197620132579935,Souss-Massa,Genie de Procedes de l'Energie et de l'Environnement
15,11,12,14,14,12,13,9,13,15,15,14,9,15,15,15,13,10,13,15,9,15,11,9,12.75,15.134126954967014,Marrakech-Safi,Genie de Procedes de l'Energie et de l'Environnement
11,15,10,10,9,10,14,12,14,15,15,10,14,14,9,10,14,10,14,9,15,10,15,15,12.25,12.424784247423416,Marrakech-Safi,Genie Industriel
14,11,9,15,10,12,13,14,9,14,15,12,10,9,9,15,11,9,15,11,11,13,14,15,12.083333333333334,15.093877600711387,Guelmim-Oued Noun,Genie de Procedes de l'Energie et de l'Environnement
10,13,15,15,13,13,9,11,14,13,10,11,13,10,15,15,11,15,11,11,15,13,14,15,12.708333333333334,14.191073010684487,Rabat-Sale-Kenitra,Genie Mecanique
10,12,15,13,12,15,10,12,14,9,15,10,9,9,11,15,13,15,9,14,12,14,15,9,12.166666666666666,18.1817823644386,Casablanca-Settat,Genie de Procedes de l'Energie et de l'Environnement
9,9,13,11,12,10,9,9,9,15,15,14,14,9,13,15,12,10,11,14,12,14,14,14,11.958333333333334,16.409246257555253,Souss-Massa,Genie de Procedes de l'Energie et de l'Environnement
11,12,11,12,9,10,11,11,9,9,15,14,12,13,10,15,9,11,14,14,11,13,14,9,11.625,16.82830568967726,Fes-Meknes,Genie de Procedes de l'Energie et de l'Environnement
15,13,9,12,10,14,13,11,14,12,15,14,15,9,9,12,11,10,14,14,9,9,15,13,12.166666666666666,15.012715273832876,Souss-Massa,Genie Industriel
12,15,15,13,11,10,15,14,9,10,9,15,10,10,10,11,15,9,14,10,10,15,10,10,11.75,15.52586906558825,Souss-Massa,Genie Electrique
14,15,9,13,12,14,12,11,10,13,15,15,15,11,10,15,10,10,9,12,15,10,14,10,12.25,15.049628492333923,Souss-Massa,Genie de Procedes de l'Energie et de l'Environnement
14,12,15,14,13,15,12,10,11,14,15,15,10,9,14,15,12,12,10,15,14,14,13,13,12.958333333333334,17.824691562030452,Marrakech-Safi,Genie de Procedes de l'Energie et de l'Environnement
11,13,12,14,15,15,13,10,11,11,15,12,13,11,15,15,14,13,11,11,10,14,11,11,12.541666666666666,16.839125761993134,Souss-Massa,Genie de Procedes de l'Energie et de l'Environnement
13,14,15,13,12,13,14,15,11,12,15,9,14,12,11,15,12,12,11,11,14,13,14,12,12.791666666666666,18.443360549329967,Marrakech-Safi,Genie de Procedes de l'Energie et de l'Environnement
10,14,11,13,14,11,12,13,11,13,15,9,13,12,14,15,14,9,15,14,9,11,15,11,12.416666666666666,15.239426177403884,Tanger-Tetouan-Al Hoceima,Genie de Procedes de l'Energie et de l'Environnement
11,11,14,14,11,12,12,10,15,12,14,12,11,12,12,9,14,12,15,14,11,11,15,9,12.208333333333334,15.29375681915396,Rabat-Sale-Kenitra,Genie Industriel
11,13,13,9,11,9,9,10,9,14,15,10,11,10,10,15,10,10,13,13,15,9,14,11,11.416666666666666,16.59145417481678,Guelmim-Oued Noun,Genie de Procedes de l'Energie et de l'Environnement
14,15,13,9,13,15,13,13,14,11,15,14,15,9,12,11,11,15,15,10,11,10,14,13,12.708333333333334,14.269871319546738,Souss-Massa,Genie Industriel
13,9,11,14,14,10,11,13,11,15,15,9,10,11,15,15,12,12,11,13,13,14,11,13,12.291666666666666,14.126853948202626,Souss-Massa,Genie de Procedes de l'Energie et de l'Environnement
9,13,15,15,11,14,10,15,15,13,15,15,13,12,14,15,10,13,11,12,15,13,10,13,12.958333333333334,17.00300191666097,Draa-Tafilalet,Genie de Procedes de l'Energie et de l'Environnement
9,14,13,13,12,15,12,9,15,12,15,14,14,13,14,12,11,14,14,14,9,15,14,10,12.791666666666666,15.558373080192474,Rabat-Sale-Kenitra,Genie Industriel
13,14,13,12,11,10,15,15,13,12,15,9,12,10,13,15,9,14,10,10,9,11,14,9,12.0,16.84397872990918,Guelmim-Oued Noun,Genie de Procedes de l'Energie et de l'Environnement
13,14,15,14,13,11,13,9,14,10,14,15,11,12,9,14,10,10,14,9,12,12,14,13,12.291666666666666,13.99230406945128,Souss-Massa,Genie Industriel
12,9,9,14,11,10,12,14,15,12,14,14,9,9,9,15,9,9,15,10,15,10,15,13,11.833333333333334,17.967413391594157,Souss-Massa,Genie Industriel
13,10,15,13,15,12,15,14,14,13,13,9,14,11,14,12,14,11,15,9,10,15,9,13,12.625,16.144559596113094,Laayoune-Sakia El Hamra,Genie Electrique
13,11,9,11,15,13,9,11,10,13,15,10,10,10,9,15,10,13,9,15,14,15,14,11,11.875,16.347794431161955,Souss-Massa,Genie de Procedes de l'Energie et de l'Environnement
15,9,14,15,14,11,10,9,13,11,10,13,11,12,11,15,9,10,12,15,14,14,15,12,12.25,17.712480327786697,Laayoune-Sakia El Hamra,Genie Civil(BTP)
14,11,14,15,11,14,10,15,14,10,11,15,13,14,10,15,10,12,15,15,12,11,15,10,12.75,15.831627935717185,Guelmim-Oued Noun,Genie Civil(BTP)
14,13,9,15,14,14,13,9,14,10,9,13,14,15,15,15,13,10,13,9,9,13,15,13,12.541666666666666,16.579261688737006,Beni Mellal-Khenifra,Genie Civil(BTP)
15,15,9,10,10,12,15,13,15,9,15,11,12,9,14,9,13,11,15,13,12,9,14,12,12.166666666666666,13.30368965209118,Souss-Massa,Genie Industriel
13,15,13,12,13,13,12,14,15,13,15,10,13,11,11,15,9,9,14,14,12,9,10,15,12.5,15.392940737930878,Guelmim-Oued Noun,Genie de Procedes de l'Energie et de l'Environnement
11,14,13,12,9,10,12,15,11,14,15,15,13,11,15,15,13,14,15,15,15,11,9,15,13.0,18.39054692956464,Souss-Massa,Genie de Procedes de l'Energie et de l'Environnement
15,9,14,15,9,10,15,15,13,15,12,10,11,12,15,15,11,13,15,9,15,15,15,15,13.041666666666666,13.309436256136689,Marrakech-Safi,Genie Civil(BTP)
9,12,12,11,11,10,12,15,10,14,15,14,11,13,9,15,14,10,10,11,11,9,10,12,11.666666666666666,15.98213774574444,Souss-Massa,Genie de Procedes de l'Energie et de l'Environnement
9,13,15,15,11,13,10,9,12,12,15,13,9,15,14,15,10,12,10,15,10,10,11,13,12.125,16.639739142206874,Rabat-Sale-Kenitra,Genie de Procedes de l'Energie et de l'Environnement
15,14,9,12,11,13,9,11,13,14,15,14,11,12,10,15,12,9,14,11,15,14,9,15,12.375,15.936075297676089,Souss-Massa,Genie de Procedes de l'Energie et de l'Environnement
9,9,10,10,13,9,13,14,15,14,15,13,15,13,9,15,12,10,9,13,15,14,11,12,12.166666666666666,15.453889596690184,Fes-Meknes,Genie de Procedes de l'Energie et de l'Environnement
9,15,15,9,11,11,9,12,12,12,15,10,13,15,12,15,13,11,9,13,12,10,14,10,11.958333333333334,17.4173682716027,Casablanca-Settat,Genie de Procedes de l'Energie et de l'Environnement
10,12,12,12,14,11,13,12,14,12,15,13,15,12,15,12,9,15,14,15,9,10,14,15,12.708333333333334,15.933320857117195,Laayoune-Sakia El Hamra,Genie Industriel
14,15,10,13,9,14,10,12,15,11,15,13,15,14,11,15,11,15,15,9,9,12,11,14,12.583333333333334,16.41103793215757,Marrakech-Safi,Genie de Procedes de l'Energie et de l'Environnement
15,15,13,11,14,13,10,12,15,12,14,9,15,10,13,11,12,14,14,12,13,10,14,11,12.583333333333334,15.033110081338084,Marrakech-Safi,Genie Industriel
15,14,14,15,12,13,12,9,9,13,14,14,15,10,9,15,12,13,14,10,14,12,15,13,12.75,16.478943526991685,Souss-Massa,Genie Civil(BTP)
15,12,13,12,15,13,14,12,13,9,15,10,14,13,12,15,10,12,12,14,10,13,11,12,12.541666666666666,16.419514280698127,Oriental,Genie de Procedes de l'Energie et de l'Environnement
9,11,11,9,11,15,14,9,15,13,14,15,15,14,9,9,14,14,15,13,14,15,14,11,12.625,12.328806644043532,Rabat-Sale-Kenitra,Genie Industriel
13,12,13,10,12,11,14,12,12,11,15,14,12,13,13,15,12,10,11,13,10,14,9,9,12.083333333333334,15.226798930892564,Souss-Massa,Genie de Procedes de l'Energie et de l'Environnement
15,15,13,13,14,9,10,11,15,9,15,9,13,9,14,15,10,12,14,15,12,13,14,12,12.541666666666666,12.99059808981383,Laayoune-Sakia El Hamra,Genie Industriel
9,11,9,13,9,13,14,13,15,12,14,15,9,10,15,11,10,15,15,10,13,13,14,13,12.291666666666666,16.996117733020597,Oriental,Genie Industriel
12,9,11,13,13,13,14,13,11,14,15,14,10,10,11,15,14,15,15,15,10,14,14,15,12.916666666666666,17.20137273172823,Casablanca-Settat,Genie de Procedes de l'Energie et de l'Environnement
11,11,13,11,10,13,9,11,11,14,15,10,13,11,12,15,14,13,11,10,10,13,13,9,11.791666666666666,17.920058837574885,Casablanca-Settat,Genie de Procedes de l'Energie et de l'Environnement
14,15,15,10,13,9,15,12,11,11,11,10,14,15,9,9,14,9,14,15,15,9,12,10,12.125,15.110692526953798,Souss-Massa,Genie Electrique
13,11,14,14,12,14,11,11,15,12,15,14,12,13,14,15,10,15,10,10,10,10,13,14,12.583333333333334,15.062947157404592,Souss-Massa,Genie de Procedes de l'Energie et de l'Environnement
9,14,15,9,11,12,11,10,15,14,15,9,15,15,12,15,14,13,15,10,10,15,10,10,12.416666666666666,17.336685118111802,Souss-Massa,Genie de Procedes de l'Energie et de l'Environnement
13,13,15,14,14,9,10,15,13,10,15,12,15,11,12,15,15,13,13,13,13,10,12,11,12.75,15.975506184136512,Casablanca-Settat,Genie de Procedes de l'Energie et de l'Environnement
15,11,15,12,10,11,15,14,9,12,9,10,10,13,11,12,14,10,15,11,15,11,13,11,12.041666666666666,15.762937560711038,Souss-Massa,Genie Electrique
9,9,13,10,10,12,12,10,10,13,15,15,13,14,11,15,9,13,15,14,15,9,15,12,12.208333333333334,12.514978444152142,Souss-Massa,Genie de Procedes de l'Energie et de l'Environnement
11,14,11,14,12,12,15,12,9,14,15,11,9,9,15,15,9,13,14,13,15,10,11,12,12.291666666666666,16.315302708736738,Guelmim-Oued Noun,Genie de Procedes de l'Energie et de l'Environnement
14,15,13,11,13,15,15,11,9,13,15,9,14,12,10,15,13,9,14,14,11,12,15,11,12.625,17.432583156656065,Souss-Massa,Genie de Procedes de l'Energie et de l'Environnement
12,11,13,12,14,9,13,10,14,15,15,12,9,11,13,13,11,9,15,10,11,13,14,13,12.166666666666666,17.018032910759164,Souss-Massa,Genie Industriel
9,9,9,14,11,11,9,14,15,12,15,14,11,13,9,11,12,11,15,10,9,15,14,12,11.833333333333334,15.530653870674415,Marrakech-Safi,Genie Industriel
10,9,9,9,10,14,13,13,11,15,15,11,11,13,13,15,10,9,11,12,11,9,15,12,11.666666666666666,17.787637555798717,Guelmim-Oued Noun,Genie de Procedes de l'Energie et de l'Environnement
15,9,12,12,15,12,15,12,10,13,15,9,15,9,15,15,11,10,13,15,9,11,9,12,12.208333333333334,15.030450771096088,Souss-Massa,Genie de Procedes de l'Energie et de l'Environnement
13,11,14,15,14,12,9,14,12,15,15,9,11,15,9,15,9,14,10,14,10,15,9,14,12.416666666666666,17.852182221676347,Marrakech-Safi,Genie de Procedes de l'Energie et de l'Environnement
12,12,13,15,12,9,12,10,11,15,9,11,14,15,14,15,10,14,13,14,9,12,14,13,12.416666666666666,15.97388101292252,Laayoune-Sakia El Hamra,Genie Mecanique
